YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,3,5,2.42,5.28,0.51,7.28,15.71,20.18,12.11,85.92,2.23,77.67,3.29,1.92,0.68,0.51,8.07,1.22,15.98
2015,3,6,2.07,4.43,0.47,7.16,15.4,18.95,13.21,89.3,8.78,77.64,3.22,2.05,0.4,0.43,5.74,1.05,15.33
2015,3,7,1.98,4.15,0.61,7.04,16.01,20.77,12.68,86.59,8.6,77.63,3.17,2.14,0.78,0.4,8.09,1.46,16.29
2015,3,8,2.69,5.88,0.92,7.47,16.27,21.02,12.3,83.71,0.17,77.56,3.39,3.61,1.13,0.57,8.72,2.17,16.59
2015,3,9,2.64,5.8,0.87,7.41,15.93,19.83,12.3,87.2,2.38,77.54,3.4,3.55,0.98,0.56,7.53,2.08,16.13
2015,3,10,2.44,4.81,0.77,7.39,15.94,20.48,12.22,86.57,1.55,77.61,3.37,3.17,0.88,0.46,8.26,1.82,16.17
2015,3,11,2.88,5.43,0.58,7.57,17.31,22.82,12.95,84.04,0.69,77.63,3.47,2.36,0.76,0.52,9.87,1.36,17.72
2015,3,12,2.65,5.31,0.45,7.62,16.61,21.22,13.43,85.56,2.62,77.64,3.5,1.83,0.44,0.51,7.79,1.09,16.89
2015,3,13,2.26,4.13,0.53,7.41,15.65,19.99,13.12,90.67,6.44,77.56,3.37,1.96,0.22,0.4,6.87,1.12,15.55
2015,3,14,1.97,3.47,0.42,7.36,15.61,18.65,13.52,91.33,5.99,77.57,3.37,1.48,0.35,0.33,5.13,0.93,15.61
2015,3,15,2.78,5.46,0.41,7.45,16.03,20.92,12.88,87.97,5.15,77.68,3.39,1.38,0.52,0.52,8.04,0.91,16.44
2015,3,16,2.42,4.59,0.37,7.39,15.86,20.02,13.63,89.9,5.58,77.69,3.35,1.35,0.36,0.44,6.39,0.75,16.01
2015,3,17,2.08,4.1,0.75,7.16,14.45,17.17,11.61,93.88,10.43,77.75,3.22,3.28,0.81,0.39,5.56,1.71,14.54
2015,3,18,1.72,2.82,0.71,7.49,14.06,18.76,10.23,90.58,11.98,77.78,3.42,2.18,1.03,0.27,8.53,1.61,14.32
2015,3,19,1.54,2.69,0.88,7.36,14.82,20.12,11.38,87.82,3.26,77.79,3.33,2.83,1.29,0.26,8.74,1.89,15.39
2015,3,20,2.02,3.85,0.79,7.37,14.09,18.12,11.44,90.23,11.72,77.88,3.33,2.79,1.11,0.37,6.68,1.74,14.47
2015,3,21,2.09,3.87,0.69,7.37,13.95,18.58,10.9,88.95,11.75,77.91,3.34,2.25,0.84,0.37,7.68,1.45,14.36
2015,3,22,2.45,4.88,0.72,7.53,14.42,18.3,10.89,89.89,2.43,77.87,3.42,2.36,0.77,0.47,7.41,1.47,14.63
2015,3,23,2.28,4.71,0.34,7.27,15.11,20.34,11.54,87.08,8.12,77.89,3.29,1.5,0.08,0.45,8.8,0.72,15.37
2015,3,24,2.34,4.82,0.37,7.33,15.8,20.56,12.93,87.52,8.87,77.91,3.31,1.19,0.34,0.46,7.63,0.77,16.09
2015,3,25,2.32,4.96,0.57,7.4,14.98,17.65,13.45,93.65,3.9,77.87,3.36,2.02,0.46,0.47,4.2,1.21,14.86
2015,3,26,2.03,4.18,0.48,7.31,14.71,18.43,12.65,91.04,3.62,77.83,3.3,1.47,0.66,0.4,5.78,1.1,14.78
2015,3,27,2.17,4.92,0.51,7.03,15.96,21.27,11.46,85.02,0.2,77.87,3.17,2.05,0.61,0.47,9.81,1.12,16.05
2015,3,28,1.57,3.43,0.53,6.85,15.46,18.44,13.56,93.24,12.7,77.92,3.07,1.68,0.38,0.33,4.88,1.16,15.38
2015,3,29,1.85,3.33,0.56,7.53,14.89,18.15,12.69,91.29,20.06,77.94,3.43,2.22,0.66,0.32,5.46,1.27,15.06
2015,3,30,2.33,4.75,0.47,7.45,15.39,20.12,11.77,88.96,8.32,77.85,3.4,1.74,0.44,0.45,8.35,0.96,15.75
2015,3,31,2.34,4.73,0.46,7.4,15.99,21.29,12.24,86.09,1.4,77.76,3.35,1.5,0.22,0.45,9.05,1.0,16.35
2015,4,1,1.97,4.18,0.35,7.15,15.78,20.97,12.52,87.15,1.17,77.79,3.22,1.2,0.18,0.4,8.45,0.77,16.03
2015,4,2,2.03,4.3,0.66,7.15,15.42,19.76,12.38,88.02,3.96,77.83,3.2,2.85,0.96,0.41,7.38,1.56,15.68
2015,4,3,1.79,3.53,0.69,7.35,15.63,20.52,12.35,87.75,3.03,77.72,3.34,2.63,0.82,0.34,8.17,1.6,15.92
2015,4,4,2.36,4.46,0.52,7.48,15.37,20.25,11.71,88.7,4.27,77.59,3.41,2.17,0.62,0.43,8.54,1.21,15.65
2015,4,5,1.77,3.37,0.48,7.16,15.23,18.19,13.4,91.63,6.16,77.55,3.24,1.88,0.47,0.32,4.79,1.16,15.23
2015,4,6,2.43,4.82,0.79,7.28,15.68,19.86,13.13,86.07,0.5,77.64,3.3,2.94,1.07,0.46,6.73,1.81,15.96
2015,4,7,2.28,4.81,1.03,7.22,15.14,19.43,12.35,86.21,3.89,77.66,3.24,4.25,1.12,0.46,7.08,2.28,15.42
2015,4,8,2.02,4.13,0.77,7.17,14.54,18.65,11.76,89.61,6.27,77.65,3.24,3.26,1.06,0.4,6.89,1.82,14.73
2015,4,9,2.42,4.88,0.81,7.17,15.55,20.71,10.9,84.24,1.14,77.68,3.23,3.29,1.0,0.47,9.81,1.89,15.89
2015,4,10,2.66,5.45,0.79,7.3,15.36,19.38,12.66,89.23,6.4,77.72,3.33,3.11,0.94,0.52,6.72,1.85,15.48
2015,4,11,1.67,3.08,0.93,7.13,15.08,19.12,11.55,87.91,4.07,77.79,3.23,3.69,1.15,0.3,7.57,2.14,15.32
2015,4,12,2.95,5.65,0.89,7.47,15.89,20.76,11.91,84.33,0.37,77.82,3.41,3.43,0.96,0.54,8.85,2.04,16.25
2015,4,13,2.68,4.93,0.73,7.54,16.07,21.06,12.26,85.86,5.38,77.88,3.43,2.71,0.86,0.47,8.8,1.72,16.43
2015,4,14,2.31,4.08,0.63,7.39,15.14,19.39,12.72,89.74,19.98,77.88,3.38,2.35,0.82,0.39,6.67,1.4,15.36
2015,4,15,2.39,4.41,0.53,7.25,14.53,17.44,12.31,92.47,24.44,77.82,3.3,2.19,0.69,0.43,5.13,1.25,14.45
2015,4,16,2.33,4.59,0.58,7.21,15.2,20.15,12.22,89.02,16.25,77.81,3.28,2.3,0.83,0.44,7.93,1.33,15.49
2015,4,17,2.03,3.69,0.44,7.23,15.13,19.23,12.55,90.58,6.66,77.8,3.29,1.68,0.58,0.36,6.68,0.99,15.25
2015,4,18,2.59,5.23,0.57,7.4,15.18,19.48,12.5,89.88,8.76,77.78,3.38,2.32,0.77,0.51,6.98,1.35,15.36
2015,4,19,2.16,4.08,0.57,7.44,14.49,17.92,11.63,90.03,5.5,77.74,3.42,2.08,0.74,0.4,6.29,1.25,14.59
2015,4,20,2.5,4.82,0.4,7.29,15.0,18.68,12.35,92.24,7.85,77.71,3.34,1.48,0.56,0.47,6.33,0.9,14.92
2015,4,21,2.39,4.63,0.56,7.25,15.48,19.76,12.39,88.46,8.43,77.74,3.33,2.51,0.62,0.45,7.37,1.33,15.79
2015,4,22,2.34,4.77,0.7,7.26,15.49,19.46,12.5,86.94,0.82,77.72,3.31,2.72,0.98,0.46,6.96,1.69,15.73
2015,4,23,2.77,5.6,0.82,7.47,15.49,20.51,11.25,85.92,2.69,77.75,3.42,3.55,0.93,0.54,9.26,1.95,15.82
2015,4,24,2.41,4.98,0.79,7.18,15.32,19.49,11.98,87.58,0.94,77.79,3.28,3.09,0.87,0.48,7.51,1.84,15.52
2015,4,25,2.0,3.64,0.9,7.22,15.06,18.62,12.09,88.79,4.42,77.82,3.3,3.5,1.34,0.35,6.53,2.17,15.15
2015,4,26,2.64,5.2,1.07,7.24,15.54,20.19,11.35,86.18,0.11,77.78,3.34,4.6,1.19,0.51,8.84,2.5,15.81
2015,4,27,3.12,6.32,1.03,7.59,16.05,21.15,11.63,85.05,0.61,77.74,3.48,4.23,1.19,0.62,9.52,2.42,16.32
2015,4,28,2.54,4.62,0.89,7.5,16.28,20.91,12.44,84.75,0.07,77.67,3.42,3.47,1.07,0.45,8.47,2.17,16.49
2015,4,29,2.91,6.31,0.93,7.31,16.03,20.31,12.88,85.06,0.5,77.68,3.31,4.01,1.02,0.62,7.43,2.18,16.19
2015,4,30,2.28,4.38,0.59,7.29,15.88,20.0,12.9,87.5,1.19,77.71,3.32,2.81,0.82,0.43,7.1,1.44,16.12
2015,5,1,2.08,4.07,0.34,7.22,15.13,19.52,12.68,89.52,2.57,77.79,3.3,1.45,0.05,0.4,6.84,0.82,15.34
2015,5,2,2.55,5.4,0.47,7.22,16.27,21.26,12.31,86.38,5.15,77.68,3.28,1.98,0.21,0.53,8.95,1.06,16.42
2015,5,3,2.28,4.33,0.4,7.31,14.1,16.01,12.23,93.49,6.3,77.72,3.34,1.42,0.1,0.43,3.78,0.87,13.77
2015,5,4,2.5,5.27,0.55,7.09,15.88,20.85,11.92,84.79,0.63,77.77,3.22,1.69,0.72,0.52,8.93,1.21,15.89
2015,5,5,2.64,5.5,0.77,7.15,15.33,19.81,12.46,84.45,0.03,77.82,3.27,3.19,0.71,0.54,7.35,1.82,15.4
2015,5,6,2.41,4.87,0.73,6.95,15.45,19.67,12.82,86.35,0.59,77.83,3.16,2.83,0.86,0.48,6.85,1.7,15.66
2015,5,7,2.84,5.92,0.88,7.17,16.11,21.4,11.81,84.39,0.19,77.77,3.26,3.49,1.09,0.59,9.59,2.05,16.52
2015,5,8,2.35,4.61,0.97,7.04,15.68,20.18,12.34,85.88,0.17,77.78,3.22,4.01,1.29,0.46,7.84,2.26,15.93
2015,5,9,2.44,5.01,0.99,6.86,15.87,20.45,12.68,86.91,3.43,77.74,3.12,3.86,1.24,0.5,7.77,2.24,16.1
2015,5,10,2.59,4.84,0.99,7.07,15.38,19.48,12.27,87.4,1.6,77.74,3.23,3.74,1.44,0.48,7.21,2.3,15.51
2015,5,11,2.6,4.93,1.09,7.23,15.83,20.56,12.17,83.33,0.08,77.76,3.29,4.64,1.18,0.49,8.39,2.52,16.07
2015,5,12,2.58,5.28,0.82,7.22,16.18,20.83,12.43,85.13,0.2,77.74,3.32,3.48,0.84,0.53,8.4,1.96,16.45
2015,5,13,2.15,4.41,0.95,6.87,15.65,19.88,12.33,85.66,1.42,77.75,3.12,3.56,1.28,0.44,7.55,2.16,15.88
2015,5,14,2.29,4.32,0.74,7.15,14.92,19.66,11.4,87.85,6.45,77.76,3.3,2.63,0.93,0.43,8.26,1.75,15.18
2015,5,15,2.27,4.31,0.69,7.27,14.91,19.64,11.38,87.52,4.06,77.8,3.32,2.99,0.68,0.43,8.26,1.6,15.11
2015,5,16,2.28,4.36,0.63,7.21,15.54,20.66,11.61,87.66,2.66,77.83,3.3,2.37,0.77,0.44,9.05,1.45,15.86
2015,5,17,2.23,4.22,0.63,7.23,15.44,19.01,13.17,88.91,2.53,77.91,3.31,2.42,0.8,0.42,5.84,1.45,15.55
2015,5,18,2.38,4.43,1.03,7.18,15.98,19.79,13.23,86.39,2.64,77.92,3.28,3.8,1.43,0.44,6.56,2.38,16.19
2015,5,19,2.54,5.28,0.85,7.03,15.3,19.83,11.13,83.6,0.26,77.9,3.19,3.31,1.1,0.53,8.7,1.98,15.59
2015,5,20,2.38,4.79,0.87,6.9,15.28,20.42,11.42,85.36,4.02,77.85,3.12,3.3,1.18,0.48,9.0,2.02,15.59
2015,5,21,2.35,3.83,0.74,7.19,14.72,18.65,11.14,89.5,3.4,77.87,3.31,2.62,0.93,0.39,7.51,1.72,14.84
2015,5,22,2.29,4.12,0.71,7.14,15.71,20.68,11.57,85.45,1.31,77.94,3.29,2.64,0.93,0.41,9.11,1.67,16.01
2015,5,23,2.79,5.37,0.89,7.33,15.42,20.01,12.06,84.68,0.4,77.95,3.37,3.18,1.22,0.54,7.95,2.05,15.66
2015,5,24,2.75,5.46,0.75,7.25,15.16,20.07,10.41,85.4,3.72,77.85,3.32,2.99,0.85,0.55,9.66,1.75,15.5
2015,5,25,1.97,3.47,0.59,7.06,15.11,19.15,11.84,88.61,5.16,77.85,3.25,2.3,0.82,0.35,7.31,1.33,15.46
2015,5,26,2.53,5.06,0.77,7.09,15.5,19.9,12.55,86.0,1.35,77.82,3.27,3.25,0.91,0.51,7.35,1.76,15.76
2015,5,27,2.09,3.99,0.7,6.87,15.54,19.93,12.09,85.92,1.62,77.75,3.13,2.81,0.87,0.4,7.84,1.63,15.86
2015,5,28,2.07,3.66,0.58,6.69,14.24,17.43,11.78,91.79,5.46,77.78,3.09,1.85,0.82,0.37,5.65,1.37,14.41
2015,5,29,1.65,2.82,0.54,6.86,15.47,20.7,11.58,87.43,3.6,77.77,3.14,2.02,0.9,0.29,9.12,1.26,15.78
2015,5,30,2.23,4.27,0.58,6.89,15.44,20.23,12.23,86.57,0.71,77.75,3.17,2.09,0.96,0.43,8.0,1.37,15.85
2015,5,31,2.66,5.12,0.77,7.1,15.51,20.33,11.69,85.82,1.75,77.8,3.27,3.03,0.93,0.52,8.64,1.76,15.83
