YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,2,28,2.64,6.27,1.89,7.54,23.55,30.15,18.34,77.04,1.07,91.53,3.48,4.56,1.57,0.59,11.81,2.77,24.51
2015,3,1,2.78,6.96,3.11,7.75,22.52,29.43,17.61,69.68,0.06,91.79,3.54,6.09,3.26,0.66,11.82,4.41,23.63
2015,3,2,2.63,6.69,2.06,7.73,22.22,29.32,15.29,69.23,0.06,91.82,3.48,5.29,0.86,0.63,14.03,2.96,23.6
2015,3,3,2.52,6.37,1.85,7.56,23.53,29.95,17.48,71.34,0.01,91.73,3.45,4.63,0.62,0.61,12.47,2.63,24.8
2015,3,4,2.78,6.96,1.89,7.51,24.27,29.59,18.55,69.82,1.52,91.72,3.44,4.99,0.59,0.66,11.04,2.69,25.45
2015,3,5,2.41,6.13,1.57,7.57,24.13,30.08,18.37,71.64,0.52,91.65,3.48,3.88,0.38,0.59,11.71,2.29,25.33
2015,3,6,2.51,6.31,1.45,7.44,24.22,28.67,19.77,72.68,0.1,91.57,3.41,3.96,0.28,0.61,8.9,2.12,24.99
2015,3,7,2.12,4.85,1.01,7.17,22.87,26.36,20.38,79.07,6.1,91.59,3.31,2.88,0.25,0.47,5.98,1.46,23.27
2015,3,8,1.79,3.95,1.65,7.13,21.64,24.89,19.06,87.32,6.93,91.59,3.29,4.22,1.3,0.38,5.83,2.52,22.04
2015,3,9,1.23,2.64,1.08,7.15,20.98,23.42,18.99,89.47,22.08,91.54,3.3,2.43,0.8,0.26,4.43,1.72,21.19
2015,3,10,1.39,2.98,2.68,7.12,21.61,25.82,18.07,86.16,3.08,91.44,3.29,6.59,1.32,0.29,7.75,3.96,21.92
2015,3,11,2.01,4.46,2.79,7.27,21.55,24.22,19.86,92.06,5.38,91.39,3.36,6.3,1.95,0.44,4.36,4.14,21.65
2015,3,12,1.1,2.28,1.84,7.19,21.31,24.72,19.13,89.21,3.44,91.55,3.34,4.51,1.58,0.22,5.59,2.76,21.67
2015,3,13,1.56,3.55,1.38,6.98,21.75,26.31,18.06,83.2,0.52,91.6,3.23,3.32,1.3,0.35,8.25,2.09,22.48
2015,3,14,1.77,3.94,1.25,6.97,22.46,27.54,18.54,79.93,0.8,91.65,3.22,3.01,0.16,0.39,9.0,1.86,23.13
2015,3,15,1.9,4.77,1.13,6.8,22.24,25.41,19.2,77.93,0.51,91.71,3.11,3.77,0.1,0.48,6.21,1.6,22.12
2015,3,16,2.1,5.37,1.38,6.87,21.43,26.3,17.4,80.24,7.95,91.65,3.15,2.95,0.59,0.54,8.9,2.07,21.65
2015,3,17,1.22,2.66,1.46,6.91,20.03,24.62,16.69,83.26,11.24,91.7,3.17,2.91,1.05,0.27,7.93,2.16,20.47
2015,3,18,1.29,2.84,1.53,6.84,20.22,23.47,17.11,86.47,7.23,91.8,3.11,3.22,1.05,0.29,6.36,2.23,20.31
2015,3,19,1.37,3.17,1.24,6.79,20.56,23.71,17.79,83.09,0.54,91.8,3.11,3.58,0.68,0.32,5.92,1.84,20.67
2015,3,20,1.2,2.71,1.35,6.69,19.73,22.86,17.32,87.01,11.42,91.67,3.05,3.98,0.27,0.28,5.54,2.0,19.88
2015,3,21,1.4,3.36,1.8,6.73,20.37,24.35,16.16,83.11,5.66,91.45,3.08,5.78,0.68,0.35,8.19,2.67,20.59
2015,3,22,1.66,3.92,1.48,6.61,20.43,23.88,17.81,89.25,37.21,91.48,3.03,3.51,1.02,0.41,6.07,2.2,20.76
2015,3,23,1.7,4.2,1.81,6.71,21.84,26.32,17.63,83.43,9.86,91.73,3.06,3.97,0.65,0.44,8.69,2.61,22.16
2015,3,24,1.98,5.36,1.97,6.86,21.62,27.03,16.13,79.95,0.09,91.96,3.1,4.6,0.64,0.56,10.9,2.86,22.23
2015,3,25,2.5,6.61,1.52,6.96,21.19,26.89,15.65,76.22,0.0,91.95,3.15,4.32,0.24,0.69,11.24,2.22,21.68
