YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,WSC
2015,2,23,2.9,7.44,1.15,8.08,21.96,29.2,15.8,73.47,0.14,89.71,3.66,3.04,1.84,0.69,13.4,2.48,22.37,2.11
2015,2,24,2.83,7.12,0.79,7.89,21.73,28.71,15.68,77.15,0.89,89.71,3.58,2.82,0.78,0.66,13.03,1.66,22.16,1.35
2015,2,25,2.17,5.1,0.72,7.45,20.59,25.57,17.08,82.75,2.08,89.77,3.4,2.98,0.74,0.48,8.49,1.61,20.7,1.19
2015,2,26,2.69,6.05,0.53,7.62,22.14,28.96,17.02,76.18,3.14,89.46,3.5,1.52,0.48,0.57,11.94,1.04,22.26,0.77
2015,2,27,2.69,6.6,0.64,7.74,22.73,29.57,17.95,74.72,3.23,89.23,3.55,1.87,0.47,0.62,11.62,1.22,22.79,0.87
2015,2,28,2.35,5.5,1.09,7.58,22.04,28.96,17.36,76.7,1.93,89.36,3.47,3.83,0.27,0.52,11.6,2.29,22.06,1.63
2015,3,1,2.77,7.01,1.82,7.89,20.54,28.44,15.6,70.65,0.28,89.63,3.53,4.5,3.25,0.66,12.84,3.76,21.08,2.67
2015,3,2,2.88,7.4,1.2,7.87,20.53,29.46,13.92,68.06,0.09,89.65,3.47,3.65,1.13,0.7,15.54,2.49,21.29,1.89
2015,3,3,2.55,6.62,0.89,7.68,21.75,30.06,15.08,72.86,0.0,89.56,3.43,2.72,0.71,0.63,14.98,1.82,22.5,1.52
2015,3,4,2.76,6.72,0.88,7.54,22.49,29.45,16.58,72.65,0.46,89.54,3.43,2.87,1.0,0.64,12.87,1.79,23.23,1.46
2015,3,5,2.68,6.72,0.6,7.6,22.79,29.87,16.67,72.02,0.15,89.46,3.47,2.42,0.21,0.65,13.2,1.34,23.41,1.05
2015,3,6,2.48,5.86,0.76,7.45,22.49,27.85,18.26,75.07,0.38,89.39,3.41,3.33,0.31,0.57,9.59,1.61,22.91,1.19
2015,3,7,1.75,3.71,0.66,7.18,20.85,24.85,18.06,83.31,7.85,89.41,3.31,3.13,0.44,0.36,6.79,1.49,21.05,1.22
2015,3,8,1.48,3.09,0.74,7.15,20.38,24.54,17.53,85.84,6.9,89.39,3.29,3.73,0.24,0.3,7.01,1.75,20.38,1.44
2015,3,9,1.2,2.55,0.59,7.15,19.58,22.61,17.58,89.93,17.7,89.35,3.29,2.47,0.21,0.25,5.03,1.33,19.6,1.11
2015,3,10,1.45,3.05,1.35,7.12,19.85,24.35,16.12,87.02,3.55,89.24,3.27,5.34,0.67,0.3,8.23,2.98,19.78,2.28
2015,3,11,2.31,5.47,1.61,7.31,20.29,23.16,18.32,91.86,3.15,89.19,3.34,5.36,2.14,0.54,4.84,3.38,20.29,2.55
2015,3,12,1.31,2.86,0.89,7.21,20.01,23.88,17.39,88.9,3.89,89.36,3.32,3.79,1.03,0.28,6.49,2.14,20.13,1.74
2015,3,13,1.66,3.97,0.72,6.97,20.84,27.39,15.74,81.8,0.27,89.4,3.21,2.9,0.86,0.4,11.65,1.63,21.21,1.22
2015,3,14,1.69,3.84,0.42,6.96,21.85,27.58,17.37,80.67,0.71,89.43,3.21,1.4,0.39,0.38,10.21,0.92,22.03,0.68
2015,3,15,1.81,4.42,0.64,6.8,20.83,23.62,18.79,79.75,1.36,89.51,3.1,2.32,0.5,0.44,4.83,1.25,20.36,0.9
2015,3,16,2.02,4.94,0.49,6.86,19.86,23.93,16.97,83.86,4.98,89.45,3.13,1.38,0.57,0.5,6.96,0.99,19.27,0.74
2015,3,17,1.37,3.03,0.52,6.9,18.92,22.44,16.36,87.05,5.66,89.52,3.15,1.74,0.92,0.31,6.08,1.24,18.91,1.08
2015,3,18,1.24,2.68,0.73,6.82,19.4,24.34,15.63,85.25,4.79,89.61,3.1,2.45,0.36,0.27,8.71,1.54,19.33,1.25
2015,3,19,1.33,2.97,0.69,6.79,19.83,24.27,16.44,82.35,0.98,89.6,3.09,2.14,0.42,0.3,7.83,1.41,19.69,1.05
2015,3,20,1.38,3.17,0.75,6.68,18.59,22.82,15.62,88.76,7.8,89.46,3.03,2.64,1.02,0.33,7.2,1.69,18.55,1.37
2015,3,21,1.37,3.2,0.83,6.72,18.53,23.56,15.83,86.83,4.6,89.25,3.06,4.54,0.08,0.33,7.73,1.82,18.4,1.42
2015,3,22,1.39,3.01,0.94,6.61,18.48,21.65,16.4,92.01,30.57,89.27,3.01,3.2,0.73,0.31,5.25,1.96,18.53,1.57
2015,3,23,1.52,3.72,0.99,6.71,19.08,24.73,15.23,88.08,5.06,89.56,3.04,3.0,0.28,0.39,9.5,2.06,19.15,1.61
2015,3,24,2.03,5.5,1.12,6.87,20.08,26.86,15.08,81.17,0.16,89.78,3.08,3.52,0.79,0.58,11.78,2.34,20.43,1.83
2015,3,25,2.43,6.36,0.74,6.96,19.78,26.78,14.4,78.81,0.02,89.75,3.13,2.76,0.05,0.67,12.38,1.56,20.03,1.31
2015,3,26,2.26,5.68,0.88,6.87,20.57,27.32,14.29,77.01,0.01,89.51,3.09,2.7,1.34,0.6,13.03,1.89,20.52,1.46
2015,3,27,2.16,5.56,0.56,6.72,22.14,29.03,16.24,74.95,0.01,89.63,3.03,1.76,0.36,0.59,12.79,1.27,21.93,0.97
2015,3,28,1.87,4.4,0.58,6.55,21.75,27.26,16.79,83.02,2.7,89.74,3.02,1.98,0.34,0.47,10.47,1.39,21.89,1.19
2015,3,29,1.63,3.73,0.84,6.41,20.81,24.48,17.78,90.22,6.98,89.53,2.96,3.13,1.16,0.4,6.7,1.92,20.89,1.64
2015,3,30,1.47,3.13,0.61,6.4,21.66,27.09,17.0,84.4,4.66,89.44,2.96,2.33,0.14,0.34,10.09,1.4,21.65,1.12
2015,3,31,1.67,3.88,0.78,6.4,21.47,26.12,18.14,84.15,2.27,89.46,2.95,3.22,0.57,0.42,7.98,1.71,21.11,1.27
