Date,Coffee_Price,Coffee_Return
2015-08-30,120.4499969482422,0.0
2015-08-31,120.5500030517578,0.0008
2015-09-01,117.0500030517578,-0.029
2015-09-02,114.6999969482422,-0.0201
2015-09-03,116.1999969482422,0.0131
2015-09-04,115.8499984741211,-0.003
2015-09-06,115.8499984741211,0.0
2015-09-07,115.8499984741211,0.0
2015-09-08,117.6999969482422,0.016
2015-09-09,117.8000030517578,0.0008
2015-09-10,113.0500030517578,-0.0403
2015-09-11,113.3499984741211,0.0027
2015-09-13,113.3499984741211,0.0
2015-09-14,117.0,0.0322
2015-09-15,115.5,-0.0128
2015-09-16,113.8000030517578,-0.0147
2015-09-17,113.5,-0.0026
2015-09-18,113.3499984741211,-0.0013
2015-09-20,113.3499984741211,0.0
2015-09-21,117.25,0.0344
2015-09-22,115.4499969482422,-0.0154
2015-09-23,116.1999969482422,0.0065
2015-09-24,118.3000030517578,0.0181
2015-09-25,122.6999969482422,0.0372
2015-09-27,122.6999969482422,0.0
2015-09-28,119.1500015258789,-0.0289
2015-09-29,120.8499984741211,0.0143
2015-09-30,121.3499984741211,0.0041
2015-10-01,120.75,-0.0049
2015-10-02,124.3000030517578,0.0294
2015-10-04,124.3000030517578,0.0
2015-10-05,127.5500030517578,0.0261
2015-10-06,128.10000610351562,0.0043
2015-10-07,126.0500030517578,-0.016
2015-10-08,128.4499969482422,0.019
2015-10-09,131.60000610351562,0.0245
2015-10-11,131.60000610351562,0.0
2015-10-12,134.5,0.022
2015-10-13,134.35000610351562,-0.0011
2015-10-14,134.64999389648438,0.0022
2015-10-15,133.6999969482422,-0.0071
2015-10-16,125.8499984741211,-0.0587
2015-10-18,125.8499984741211,0.0
2015-10-19,123.9000015258789,-0.0155
2015-10-20,124.75,0.0069
2015-10-21,121.0,-0.0301
2015-10-22,119.8499984741211,-0.0095
2015-10-23,118.4499969482422,-0.0117
2015-10-26,117.3000030517578,-0.0097
2015-10-27,117.3000030517578,0.0
2015-10-28,119.0999984741211,0.0153
2015-10-29,120.3000030517578,0.0101
2015-10-30,120.9499969482422,0.0054
2015-11-02,118.8000030517578,-0.0178
2015-11-03,120.25,0.0122
2015-11-04,120.5,0.0021
2015-11-05,120.9000015258789,0.0033
2015-11-06,117.75,-0.0261
2015-11-09,117.75,0.0
2015-11-10,116.3000030517578,-0.0123
2015-11-11,116.8000030517578,0.0043
2015-11-12,115.3000030517578,-0.0128
2015-11-13,112.1500015258789,-0.0273
2015-11-16,114.3499984741211,0.0196
2015-11-17,114.25,-0.0009
2015-11-18,112.75,-0.0131
2015-11-19,119.9000015258789,0.0634
2015-11-20,121.9000015258789,0.0167
2015-11-23,119.9499969482422,-0.016
2015-11-24,122.4499969482422,0.0208
2015-11-25,122.9000015258789,0.0037
2015-11-26,122.9000015258789,0.0
2015-11-27,121.0,-0.0155
2015-11-30,116.9000015258789,-0.0339
2015-12-01,117.1500015258789,0.0021
2015-12-02,117.8000030517578,0.0055
2015-12-03,122.0500030517578,0.0361
2015-12-04,124.0,0.016
2015-12-07,122.6500015258789,-0.0109
2015-12-08,122.25,-0.0033
2015-12-09,123.8499984741211,0.0131
2015-12-10,122.6500015258789,-0.0097
2015-12-11,118.0999984741211,-0.0371
2015-12-14,117.25,-0.0072
2015-12-15,115.6500015258789,-0.0136
2015-12-16,118.0999984741211,0.0212
2015-12-17,117.8000030517578,-0.0025
2015-12-18,118.4499969482422,0.0055
2015-12-21,117.5,-0.008
2015-12-22,119.1500015258789,0.014
2015-12-23,120.9499969482422,0.0151
2015-12-24,119.6999969482422,-0.0103
2015-12-25,119.6999969482422,0.0
2015-12-28,119.1500015258789,-0.0046
2015-12-29,121.4499969482422,0.0193
2015-12-30,123.6500015258789,0.0181
2015-12-31,126.6999969482422,0.0247
2016-01-01,126.6999969482422,0.0
2016-01-04,123.9000015258789,-0.0221
2016-01-05,123.0,-0.0073
2016-01-06,119.9499969482422,-0.0248
2016-01-07,118.4499969482422,-0.0125
2016-01-08,119.0,0.0046
2016-01-11,114.4499969482422,-0.0382
2016-01-12,114.3499984741211,-0.0009
2016-01-13,114.8000030517578,0.0039
2016-01-14,115.9000015258789,0.0096
2016-01-15,114.9000015258789,-0.0086
2016-01-18,114.9000015258789,0.0
2016-01-19,115.6500015258789,0.0065
2016-01-20,111.5999984741211,-0.035
2016-01-21,114.4000015258789,0.0251
2016-01-22,116.0,0.014
2016-01-25,116.4499969482422,0.0039
2016-01-26,116.6999969482422,0.0021
2016-01-27,118.1999969482422,0.0129
2016-01-28,119.1500015258789,0.008
2016-01-29,116.3499984741211,-0.0235
2016-02-01,117.75,0.012
2016-02-02,119.8499984741211,0.0178
2016-02-03,121.5500030517578,0.0142
2016-02-04,123.1999969482422,0.0136
2016-02-05,120.4000015258789,-0.0227
2016-02-08,115.75,-0.0386
2016-02-09,114.75,-0.0086
2016-02-10,114.75,0.0
2016-02-11,113.0,-0.0153
2016-02-12,115.5500030517578,0.0226
2016-02-15,115.5500030517578,0.0
2016-02-16,114.9000015258789,-0.0056
2016-02-17,114.5500030517578,-0.003
2016-02-18,114.1500015258789,-0.0035
2016-02-19,115.75,0.014
2016-02-22,119.8499984741211,0.0354
2016-02-23,117.8000030517578,-0.0171
2016-02-24,115.0500030517578,-0.0233
2016-02-25,114.6500015258789,-0.0035
2016-02-26,113.0,-0.0144
2016-02-29,112.6500015258789,-0.0031
2016-03-01,112.5,-0.0013
2016-03-02,113.3499984741211,0.0076
2016-03-03,115.5999984741211,0.0199
2016-03-04,118.8000030517578,0.0277
2016-03-07,118.6500015258789,-0.0013
2016-03-08,120.1999969482422,0.0131
2016-03-09,120.8499984741211,0.0054
2016-03-10,120.5999984741211,-0.0021
2016-03-11,124.4000015258789,0.0315
2016-03-14,125.5999984741211,0.0096
2016-03-15,124.0999984741211,-0.0119
2016-03-16,127.4000015258789,0.0266
2016-03-17,132.0,0.0361
2016-03-18,133.85000610351562,0.014
2016-03-21,131.5500030517578,-0.0172
2016-03-22,134.64999389648438,0.0236
2016-03-23,131.10000610351562,-0.0264
2016-03-24,127.5500030517578,-0.0271
2016-03-25,127.5500030517578,0.0
2016-03-27,127.5500030517578,0.0
2016-03-28,128.5500030517578,0.0078
2016-03-29,127.4499969482422,-0.0086
2016-03-30,127.0,-0.0035
2016-03-31,127.4499969482422,0.0035
2016-04-01,127.25,-0.0016
2016-04-03,127.25,0.0
2016-04-04,122.8000030517578,-0.035
2016-04-05,120.9000015258789,-0.0155
2016-04-06,121.5,0.005
2016-04-07,119.8000030517578,-0.014
2016-04-08,120.4499969482422,0.0054
2016-04-10,120.4499969482422,0.0
2016-04-11,123.3499984741211,0.0241
2016-04-12,124.5999984741211,0.0101
2016-04-13,121.75,-0.0229
2016-04-14,123.1500015258789,0.0115
2016-04-15,122.9499969482422,-0.0016
2016-04-17,122.9499969482422,0.0
2016-04-18,124.0,0.0085
2016-04-19,125.8499984741211,0.0149
2016-04-20,127.1500015258789,0.0103
2016-04-21,123.5500030517578,-0.0283
2016-04-22,122.75,-0.0065
2016-04-24,122.75,0.0
2016-04-25,123.0999984741211,0.0029
2016-04-26,125.25,0.0175
2016-04-27,121.0500030517578,-0.0335
2016-04-28,120.4000015258789,-0.0054
2016-04-29,120.8499984741211,0.0037
2016-05-01,120.8499984741211,0.0
2016-05-02,119.0999984741211,-0.0145
2016-05-03,118.5999984741211,-0.0042
2016-05-04,119.0999984741211,0.0042
2016-05-05,120.9000015258789,0.0151
2016-05-06,123.4499969482422,0.0211
2016-05-08,123.4499969482422,0.0
2016-05-09,125.1500015258789,0.0138
2016-05-10,126.9000015258789,0.014
2016-05-11,127.9000015258789,0.0079
2016-05-12,128.1999969482422,0.0023
2016-05-13,128.8000030517578,0.0047
2016-05-15,128.8000030517578,0.0
2016-05-16,132.6999969482422,0.0303
2016-05-17,131.85000610351562,-0.0064
2016-05-18,129.3000030517578,-0.0193
2016-05-19,123.9499969482422,-0.0414
2016-05-20,124.6999969482422,0.0061
2016-05-22,124.6999969482422,0.0
2016-05-23,122.1500015258789,-0.0204
2016-05-24,121.8000030517578,-0.0029
2016-05-25,121.4000015258789,-0.0033
2016-05-26,121.5,0.0008
2016-05-27,121.3000030517578,-0.0016
2016-05-29,121.3000030517578,0.0
2016-05-30,121.3000030517578,0.0
2016-05-31,121.5500030517578,0.0021
2016-06-01,121.9000015258789,0.0029
2016-06-02,123.0,0.009
2016-06-03,127.0999984741211,0.0333
2016-06-05,127.0999984741211,0.0
2016-06-06,131.6999969482422,0.0362
2016-06-07,132.1999969482422,0.0038
2016-06-08,139.64999389648438,0.0564
2016-06-09,133.9499969482422,-0.0408
2016-06-10,136.9499969482422,0.0224
2016-06-12,136.9499969482422,0.0
2016-06-13,137.3000030517578,0.0026
2016-06-14,135.10000610351562,-0.016
2016-06-15,138.1999969482422,0.0229
2016-06-16,139.5,0.0094
2016-06-17,140.75,0.009
2016-06-19,140.75,0.0
2016-06-20,139.5,-0.0089
2016-06-21,138.5,-0.0072
2016-06-22,136.9499969482422,-0.0112
2016-06-23,139.25,0.0168
2016-06-24,134.35000610351562,-0.0352
2016-06-26,134.35000610351562,0.0
2016-06-27,134.5,0.0011
2016-06-28,138.89999389648438,0.0327
2016-06-29,142.85000610351562,0.0284
2016-06-30,144.10000610351562,0.0088
2016-07-01,144.85000610351562,0.0052
2016-07-03,144.85000610351562,0.0
2016-07-04,144.85000610351562,0.0
2016-07-05,144.1999969482422,-0.0045
2016-07-06,141.9499969482422,-0.0156
2016-07-07,140.4499969482422,-0.0106
2016-07-08,142.75,0.0164
2016-07-10,142.75,0.0
2016-07-11,147.9499969482422,0.0364
2016-07-12,145.9499969482422,-0.0135
2016-07-13,146.1999969482422,0.0017
2016-07-14,150.3000030517578,0.028
2016-07-15,145.6999969482422,-0.0306
2016-07-17,145.6999969482422,0.0
2016-07-18,147.8000030517578,0.0144
2016-07-19,144.64999389648438,-0.0213
2016-07-20,147.0,0.0162
2016-07-21,146.85000610351562,-0.001
2016-07-22,141.89999389648438,-0.0337
2016-07-24,141.89999389648438,0.0
2016-07-25,141.10000610351562,-0.0056
2016-07-26,141.60000610351562,0.0035
2016-07-27,141.1999969482422,-0.0028
2016-07-28,142.14999389648438,0.0067
2016-07-29,146.1999969482422,0.0285
2016-07-31,146.1999969482422,0.0
2016-08-01,143.4499969482422,-0.0188
2016-08-02,141.25,-0.0153
2016-08-03,140.39999389648438,-0.006
2016-08-04,142.10000610351562,0.0121
2016-08-05,142.5,0.0028
2016-08-07,142.5,0.0
2016-08-08,141.10000610351562,-0.0098
2016-08-09,141.10000610351562,0.0
2016-08-10,138.64999389648438,-0.0174
2016-08-11,137.6999969482422,-0.0069
2016-08-12,136.85000610351562,-0.0062
2016-08-14,136.85000610351562,0.0
2016-08-15,136.9499969482422,0.0007
2016-08-16,137.39999389648438,0.0033
2016-08-17,135.0500030517578,-0.0171
2016-08-18,138.14999389648438,0.023
2016-08-19,138.8000030517578,0.0047
2016-08-21,138.8000030517578,0.0
2016-08-22,144.10000610351562,0.0382
2016-08-23,145.3000030517578,0.0083
2016-08-24,142.14999389648438,-0.0217
2016-08-25,143.5,0.0095
2016-08-26,143.89999389648438,0.0028
2016-08-28,143.89999389648438,0.0
2016-08-29,144.0,0.0007
2016-08-30,144.75,0.0052
2016-08-31,145.89999389648438,0.0079
2016-09-01,150.10000610351562,0.0288
2016-09-02,150.10000610351562,0.0
2016-09-04,150.10000610351562,0.0
2016-09-05,150.10000610351562,0.0
2016-09-06,152.4499969482422,0.0157
2016-09-07,153.85000610351562,0.0092
2016-09-08,153.6999969482422,-0.001
2016-09-09,149.9499969482422,-0.0244
2016-09-11,149.9499969482422,0.0
2016-09-12,149.6999969482422,-0.0017
2016-09-13,147.35000610351562,-0.0157
2016-09-14,147.8000030517578,0.0031
2016-09-15,147.60000610351562,-0.0014
2016-09-16,147.10000610351562,-0.0034
2016-09-18,147.10000610351562,0.0
2016-09-19,151.5,0.0299
2016-09-20,155.5,0.0264
2016-09-21,156.5500030517578,0.0068
2016-09-22,155.25,-0.0083
2016-09-23,151.39999389648438,-0.0248
2016-09-25,151.39999389648438,0.0
2016-09-26,153.5500030517578,0.0142
2016-09-27,153.6999969482422,0.001
2016-09-28,153.10000610351562,-0.0039
2016-09-29,150.14999389648438,-0.0193
2016-09-30,151.5500030517578,0.0093
2016-10-02,151.5500030517578,0.0
2016-10-03,147.5500030517578,-0.0264
2016-10-04,147.4499969482422,-0.0007
2016-10-05,148.1999969482422,0.0051
2016-10-06,146.39999389648438,-0.0121
2016-10-07,148.0,0.0109
2016-10-09,148.0,0.0
2016-10-10,148.0,0.0
2016-10-11,150.8000030517578,0.0189
2016-10-12,152.10000610351562,0.0086
2016-10-13,152.6999969482422,0.0039
2016-10-14,155.39999389648438,0.0177
2016-10-16,155.39999389648438,0.0
2016-10-17,157.10000610351562,0.0109
2016-10-18,158.75,0.0105
2016-10-19,157.85000610351562,-0.0057
2016-10-20,155.89999389648438,-0.0124
2016-10-21,156.10000610351562,0.0013
2016-10-23,156.10000610351562,0.0
2016-10-24,157.89999389648438,0.0115
2016-10-25,164.5,0.0418
2016-10-26,163.6999969482422,-0.0049
2016-10-27,164.8000030517578,0.0067
2016-10-28,165.5,0.0042
2016-10-31,164.14999389648438,-0.0082
2016-11-01,161.4499969482422,-0.0164
2016-11-02,162.89999389648438,0.009
2016-11-03,165.64999389648438,0.0169
2016-11-04,171.35000610351562,0.0344
2016-11-07,174.35000610351562,0.0175
2016-11-08,167.5,-0.0393
2016-11-09,170.10000610351562,0.0155
2016-11-10,161.85000610351562,-0.0485
2016-11-11,161.85000610351562,0.0
2016-11-14,161.8000030517578,-0.0003
2016-11-15,161.8000030517578,0.0
2016-11-16,161.25,-0.0034
2016-11-17,159.3000030517578,-0.0121
2016-11-18,157.85000610351562,-0.0091
2016-11-21,158.64999389648438,0.0051
2016-11-22,157.25,-0.0088
2016-11-23,154.64999389648438,-0.0165
2016-11-24,154.64999389648438,0.0
2016-11-25,152.3000030517578,-0.0152
2016-11-28,153.0,0.0046
2016-11-29,149.89999389648438,-0.0203
2016-11-30,147.5,-0.016
2016-12-01,141.8000030517578,-0.0386
2016-12-02,141.1999969482422,-0.0042
2016-12-05,140.1999969482422,-0.0071
2016-12-06,137.9499969482422,-0.016
2016-12-07,137.89999389648438,-0.0004
2016-12-08,137.60000610351562,-0.0022
2016-12-09,135.5500030517578,-0.0149
2016-12-12,138.0500030517578,0.0184
2016-12-13,138.89999389648438,0.0062
2016-12-14,140.25,0.0097
2016-12-15,138.3000030517578,-0.0139
2016-12-16,138.1999969482422,-0.0007
2016-12-19,141.1999969482422,0.0217
2016-12-20,143.85000610351562,0.0188
2016-12-21,144.5500030517578,0.0049
2016-12-22,139.10000610351562,-0.0377
2016-12-23,136.14999389648438,-0.0212
2016-12-26,136.14999389648438,0.0
2016-12-27,134.1999969482422,-0.0143
2016-12-28,133.5,-0.0052
2016-12-29,135.4499969482422,0.0146
2016-12-30,137.0500030517578,0.0118
2017-01-02,137.0500030517578,0.0
2017-01-03,137.39999389648438,0.0026
2017-01-04,141.8000030517578,0.032
2017-01-05,143.75,0.0138
2017-01-06,142.85000610351562,-0.0063
2017-01-09,144.1999969482422,0.0095
2017-01-10,147.6999969482422,0.0243
2017-01-11,149.0,0.0088
2017-01-12,149.60000610351562,0.004
2017-01-13,149.3000030517578,-0.002
2017-01-16,149.3000030517578,0.0
2017-01-17,149.89999389648438,0.004
2017-01-18,149.1999969482422,-0.0047
2017-01-19,150.75,0.0104
2017-01-20,153.1999969482422,0.0163
2017-01-23,155.39999389648438,0.0144
2017-01-24,152.35000610351562,-0.0196
2017-01-25,152.89999389648438,0.0036
2017-01-26,151.4499969482422,-0.0095
2017-01-27,152.39999389648438,0.0063
2017-01-30,151.14999389648438,-0.0082
2017-01-31,149.5500030517578,-0.0106
2017-02-01,150.14999389648438,0.004
2017-02-02,145.9499969482422,-0.028
2017-02-03,146.25,0.0021
2017-02-06,144.1999969482422,-0.014
2017-02-07,142.60000610351562,-0.0111
2017-02-08,142.89999389648438,0.0021
2017-02-09,145.1999969482422,0.0161
2017-02-10,145.75,0.0038
2017-02-13,144.25,-0.0103
2017-02-14,143.64999389648438,-0.0042
2017-02-15,144.5,0.0059
2017-02-16,146.3000030517578,0.0125
2017-02-17,147.8000030517578,0.0103
2017-02-20,147.8000030517578,0.0
2017-02-21,150.35000610351562,0.0173
2017-02-22,149.1999969482422,-0.0076
2017-02-23,147.85000610351562,-0.009
2017-02-24,144.39999389648438,-0.0233
2017-02-27,139.10000610351562,-0.0367
2017-02-28,140.6999969482422,0.0115
2017-03-01,142.64999389648438,0.0139
2017-03-02,142.1999969482422,-0.0032
2017-03-03,141.25,-0.0067
2017-03-06,139.64999389648438,-0.0113
2017-03-07,139.0,-0.0047
2017-03-08,140.0500030517578,0.0076
2017-03-09,138.75,-0.0093
2017-03-10,139.64999389648438,0.0065
2017-03-13,140.5,0.0061
2017-03-14,139.60000610351562,-0.0064
2017-03-15,139.1999969482422,-0.0029
2017-03-16,139.75,0.004
2017-03-17,140.8000030517578,0.0075
2017-03-20,144.0,0.0227
2017-03-21,143.5,-0.0035
2017-03-22,141.6999969482422,-0.0125
2017-03-23,140.5,-0.0085
2017-03-24,137.60000610351562,-0.0206
2017-03-26,137.60000610351562,0.0
2017-03-27,139.1999969482422,0.0116
2017-03-28,138.85000610351562,-0.0025
2017-03-29,139.3000030517578,0.0032
2017-03-30,139.3000030517578,0.0
2017-03-31,139.3000030517578,0.0
2017-04-02,139.3000030517578,0.0
2017-04-03,137.85000610351562,-0.0104
2017-04-04,137.75,-0.0007
2017-04-05,137.3000030517578,-0.0033
2017-04-06,137.75,0.0033
2017-04-07,140.0500030517578,0.0167
2017-04-09,140.0500030517578,0.0
2017-04-10,139.85000610351562,-0.0014
2017-04-11,140.1999969482422,0.0025
2017-04-12,138.3000030517578,-0.0136
2017-04-13,138.89999389648438,0.0043
2017-04-16,138.89999389648438,0.0
2017-04-17,141.10000610351562,0.0158
2017-04-18,142.89999389648438,0.0128
2017-04-19,138.0,-0.0343
2017-04-20,131.64999389648438,-0.046
2017-04-21,129.85000610351562,-0.0137
2017-04-23,129.85000610351562,0.0
2017-04-24,129.5,-0.0027
